field_file,label,coverage_type,shape,noisy,pipe_type
sample_00000_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00001_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00002_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00003_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00004_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00005_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00006_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00007_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00008_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00009_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00010_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00011_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00012_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00013_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00014_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00015_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00016_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00017_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00018_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00019_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00020_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00021_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00022_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00023_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00024_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00025_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00026_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00027_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00028_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00029_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00030_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00031_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00032_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00033_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00034_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00035_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00036_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00037_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00038_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00039_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00040_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00041_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00042_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00043_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00044_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00045_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00046_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00047_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00048_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00049_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00050_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00051_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00052_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00053_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00054_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00055_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00056_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00057_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00058_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00059_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00060_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00061_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00062_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00063_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00064_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00065_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00066_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00067_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00068_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00069_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00070_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00071_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00072_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00073_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00074_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00075_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00076_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00077_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00078_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00079_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00080_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00081_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00082_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00083_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00084_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00085_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00086_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00087_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00088_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00089_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00090_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00091_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00092_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00093_perfect_straight_clean_field.npz,1,perfect,straight,False,single
sample_00094_perfect_straight_clean_field.npz,1,perfect,straight,False,single
